@relation PE-weka.filters.unsupervised.attribute.Standardize

@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@data
-0.99493,-0.120419,-0.287909,0.855888,1.181345,-0.237595,-0.399387,205
-1.567546,0.197261,-1.215463,0.855888,0.262675,-0.237595,-0.114005,205
-0.275071,-0.361086,-1.666064,0.027003,0.337162,-0.237595,-0.272551,229
-0.078746,-0.852046,-0.804388,0.524334,0.0268,-0.493044,-0.526224,216
-1.74751,-0.909806,-0.444697,0.027003,-0.444949,-0.237595,-1.255534,207
1.508216,2.276622,-0.025717,0.855888,-1.028428,-1.514842,0.932396,195
1.737262,-3.403113,1.148218,-0.636106,-0.395291,-0.748494,0.710432,235
-0.471397,-0.033779,0.005904,1.021665,0.573036,-0.237595,0.298214,205
-0.029665,-0.476606,0.886026,-0.304551,0.585451,-0.237595,-0.399387,243
-0.716803,-0.466979,2.117933,0.19278,1.39239,-0.237595,-1.065279,221
-0.389594,0.476435,0.376135,1.021665,0.001971,-0.237595,-0.209132,192
-0.111467,0.572701,0.020397,-0.138774,0.883398,-0.237595,-0.779897,209
-0.258711,-0.977193,-2.081092,-0.304551,-0.854626,0.273304,1.725124,210
-0.422315,0.178008,1.700271,0.690111,1.144101,-0.237595,0.139668,235
-1.436662,0.437928,1.95851,0.027003,0.697181,-0.237595,-0.335969,213
0.362986,0.178008,-0.339293,-0.304551,0.13853,0.273304,-0.494515,211
-1.256697,-0.707646,-0.417029,0.358557,-0.047686,-0.237595,-0.906733,231
-0.062386,-0.476606,1.113962,0.690111,-0.221489,-0.237595,-0.526224,177
-0.422315,-0.977193,-0.16933,0.027003,1.305489,2.06145,-1.318952,243
-0.111467,1.458355,0.608023,0.358557,-0.53185,-0.237595,-0.177423,221
0.330265,-0.293699,1.028321,0.358557,-0.792554,-0.237595,0.742141,232
-0.24235,-0.957939,-1.015196,0.19278,-0.705652,-0.237595,0.298214,215
-0.307792,-1.131219,-0.818881,0.19278,-1.202231,-0.237595,0.266504,236
0.297544,-0.312952,-0.05075,-1.133437,-1.22706,-0.237595,-0.177423,253
-0.520478,-0.659512,-1.339312,-0.96766,0.49855,-0.237595,-1.03357,260
1.360972,0.524568,0.069146,-0.138774,0.523378,-0.237595,-0.399387,214
0.199381,0.543821,-2.09295,-0.636106,-1.525006,-0.237595,-1.76288,189
-0.847687,-0.399592,-1.249719,0.855888,-0.345633,-0.237595,-0.526224,221
0.362986,-0.409219,-1.849203,0.690111,0.560622,-0.237595,0.42505,240
1.115566,1.564248,0.584308,0.358557,-1.276717,-0.237595,-0.272551,236
