@relation PE
@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@DATA
165.8,61.4,3935,8.0,24.4,6,243,205
162.3,64.7,3231,8.0,17.0,6,252,205
170.2,58.9,2889,7.5,17.6,6,247,229
171.4,53.8,3543,7.8,15.1,5,239,216
161.2,53.2,3816,7.5,11.3,6,216,207
181.1,86.3,4134,8.0,6.6,1,285,195
182.5,27.3,5025,7.1,11.7,4,278,235
169.0,62.3,4158,8.1,19.5,6,265,205
171.7,57.7,4826,7.3,19.6,6,243,243
167.5,57.8,5761,7.6,26.1,6,222,221
169.5,67.6,4439,8.1,14.9,6,249,192
171.2,68.6,4169,7.4,22.0,6,231,209
170.3,52.5,2574,7.3,8.0,8,310,210
169.3,64.5,5444,7.9,24.1,6,260,235
163.1,67.2,5640,7.5,20.5,6,245,213
174.1,64.5,3896,7.3,16.0,8,240,211
164.2,55.3,3837,7.7,14.5,6,227,231
171.5,57.7,4999,7.9,13.1,6,239,177
169.3,52.5,4025,7.5,25.4,15,214,243
171.2,77.8,4615,7.7,10.6,6,250,221
173.9,59.6,4934,7.7,8.5,6,279,232
170.4,52.7,3383,7.6,9.2,6,265,215
170.0,50.9,3532,7.6,5.2,6,264,236
173.7,59.4,4115,6.8,5.0,6,250,253
168.7,55.8,3137,6.9,18.9,6,223,260
180.2,68.1,4206,7.4,19.1,6,243,214
173.1,68.3,2565,7.1,2.6,6,200,189
166.7,58.5,3205,8.0,12.1,6,239,221
174.1,58.4,2750,7.9,19.4,6,269,240
178.7,78.9,4597,7.7,4.6,6,247,236
174.8,60.8,4083,7.8,4.4,5,252,216
175.4,69.0,3914,8.3,13.5,6,266,215
170.4,61.7,3942,7.7,25.7,6,227,250
181.0,80.5,4030,7.6,17.6,6,288,235
165.5,48.0,3656,8.2,7.5,6,271,197
172.1,58.6,5099,8.1,21.2,6,224,210
173.3,47.9,4095,7.3,6.1,6,267,230
172.7,50.4,3561,7.7,15.9,6,249,230
184.1,104.4,4688,9.1,5.5,6,294,210
172.8,60.0,5745,7.4,17.0,6,239,230
171.6,62.1,4234,7.4,12.0,6,222,240
167.6,61.2,5634,8.0,18.8,6,236,220
166.9,63.8,5173,7.9,20.3,7,235,223
168.0,55.2,4987,7.3,19.8,7,252,238
176.5,67.8,5792,6.9,26.9,5,281,263
163.4,52.9,3644,8.1,12.8,10,240,198
174.8,87.3,5520,6.8,19.1,15,225,247
162.9,53.0,3734,7.6,23.9,12,269,209
169.2,56.4,4336,8.4,14.8,11,241,221
180.6,65.2,3884,8.2,11.3,1,275,220
175.4,77.6,3964,8.4,20.5,5,266,189
167.3,50.0,3670,7.3,24.6,14,196,237
169.6,68.0,5087,8.2,20.5,4,190,233
172.3,69.8,4897,7.9,17.5,5,234,197
178.3,82.7,4221,8.4,8.1,6,280,226
169.0,58.6,4774,6.8,21.8,6,198,247
171.0,55.0,5600,7.4,11.9,10,218,235
163.8,54.0,4884,7.1,13.9,6,205,229
175.2,57.4,4433,7.0,12.1,6,235,201
164.7,52.6,4571,7.9,25.6,6,231,191
173.6,48.4,2509,7.3,3.7,6,236,247
158.9,56.5,3500,7.7,7.1,6,226,215
171.5,80.8,5717,7.5,24.0,6,241,224
163.6,49.9,4481,7.3,19.8,6,208,229
176.9,65.2,5755,7.6,9.1,6,230,212
164.8,46.7,3212,7.8,9.2,17,260,210
174.4,57.3,2439,8.2,12.0,1,253,149
164.2,57.6,3718,8.0,7.1,2,272,193
164.7,64.6,4985,7.7,18.3,7,236,220
173.1,56.6,4738,7.2,21.5,6,208,260
172.0,79.3,4103,8.8,19.3,1,293,198
166.6,53.2,4082,8.0,15.4,4,250,220
171.7,67.1,4111,7.3,19.4,8,251,221
176.5,74.2,5463,7.7,14.9,2,247,203
171.6,64.1,4183,7.5,15.6,12,245,237
170.1,58.3,3738,8.8,9.2,3,275,159
168.9,43.8,5049,7.5,26.7,12,244,230
173.1,107.9,4317,9.2,14.3,1,303,189
159.6,49.5,2008,8.1,15.1,2,289,199
172.7,70.7,4731,7.3,15.0,3,247,221
168.6,71.2,3445,7.9,12.1,10,306,190
174.3,63.7,5051,7.9,12.4,5,280,189
181.7,63.1,5043,7.5,9.7,6,294,213
174.5,52.1,3941,7.1,21.7,6,247,216
178.2,68.5,4028,7.5,10.6,6,248,223
177.7,72.4,4525,7.3,13.8,6,237,122
167.4,56.7,4134,7.3,19.8,7,222,215
167.7,66.4,3830,7.7,18.4,6,261,230
171.1,51.6,3938,7.3,12.3,6,220,230
167.9,62.0,4063,7.9,10.3,6,281,195
177.9,70.7,3668,7.8,20.4,8,254,231
169.9,58.2,4668,6.9,22.9,6,212,250
171.0,68.1,4414,8.5,19.8,6,254,185
178.1,88.2,4134,8.1,12.1,2,252,213
177.6,64.0,5367,8.4,21.9,6,280,210
173.3,71.3,4959,8.8,28.4,6,294,229
170.9,90.1,4382,9.0,7.1,6,290,186
166.7,59.6,3335,7.0,25.0,5,285,200
170.6,61.7,5217,7.7,11.8,6,304,247
172.4,57.9,4777,6.4,27.5,16,214,262
169.0,60.3,3620,6.8,8.1,6,270,238
167.9,59.3,3048,7.4,12.0,6,263,224
182.7,77.4,4902,7.2,8.3,6,232,254
175.2,93.1,5924,7.8,29.9,6,261,221
173.7,67.1,3350,7.2,17.3,6,251,241
180.8,68.7,4667,11.4,15.8,6,263,218
168.9,62.3,2718,7.5,7.8,13,204,189
172.9,70.5,3621,8.4,9.5,5,235,190
180.0,65.6,5631,7.4,11.5,10,205,211
179.2,75.9,3933,7.2,25.3,6,236,260
173.5,60.0,5024,7.2,21.2,17,218,220
174.2,71.3,4444,7.2,21.2,17,261,252
173.9,57.7,3988,7.9,3.0,4,296,203
177.3,69.8,4178,7.6,15.8,7,284,220
173.7,68.0,3969,7.1,14.7,9,214,232
173.1,62.1,3510,7.7,9.2,9,233,210
176.4,83.1,5243,6.7,15.3,6,241,245
174.8,71.1,4766,6.8,13.4,6,217,144
166.3,63.9,4581,7.7,10.4,6,244,221
168.7,73.8,4402,7.8,23.4,6,283,229
158.3,59.3,3559,8.0,28.1,6,258,213
167.5,54.9,3687,7.1,22.0,6,255,229
169.4,56.2,3565,7.7,12.6,6,296,204
168.2,50.5,3792,7.6,15.9,6,278,250
165.4,52.0,4129,7.5,17.7,6,292,246
182.9,63.6,4289,7.7,9.0,6,247,213
177.8,73.6,5054,7.3,7.9,6,232,229
177.0,102.4,5770,8.1,7.6,6,264,189
168.5,78.9,5110,7.9,28.1,6,242,228
163.6,47.3,3311,7.8,23.8,6,214,197
172.7,63.1,4485,7.7,14.1,6,345,197
166.8,62.6,4097,8.3,5.6,6,321,189
178.0,74.7,4616,8.0,15.9,6,231,221
